Task Id,Accepted,Fleet,Robot,Prev Cost,New Cost,Dipatch Time,Start Time,Finish Time
patrol.dispatch-0,1,tinyRobot,tinyRobotB,0.0,32.716761499,2023-07-30 08:44:50.382675,,
patrol.dispatch-0,1,tinyRobot,tinyRobotB,0.0,32.716761499,2023-07-30 08:44:50.382675,2023-07-30 08:44:52.436104,None
patrol.dispatch-1,1,tinyRobot,tinyRobotD,32.716761499,46.213820649,2023-07-30 08:44:52.580320,,
patrol.dispatch-1,1,tinyRobot,tinyRobotD,32.716761499,46.213820649,2023-07-30 08:44:52.580320,2023-07-30 08:44:54.836166,None
patrol.dispatch-2,1,tinyRobot,tinyRobotB,46.213820649,62.52878495,2023-07-30 08:44:54.981461,,
patrol.dispatch-3,1,tinyRobot,tinyRobotB,62.52878495,113.128042626,2023-07-30 08:44:57.182296,,
patrol.dispatch-4,1,tinyRobot,tinyRobotD,113.128042626,174.64713948600001,2023-07-30 08:44:59.390082,,
patrol.dispatch-5,1,tinyRobot,tinyRobotD,174.64713948600001,259.87150526299996,2023-07-30 08:45:01.584352,,
patrol.dispatch-6,1,tinyRobot,tinyRobotD,259.87150526299996,334.33143592499994,2023-07-30 08:45:03.799735,,
patrol.dispatch-7,1,tinyRobot,tinyRobotB,334.33143592499994,438.136379208,2023-07-30 08:45:06.198562,,
patrol.dispatch-8,1,tinyRobot,tinyRobotD,438.136379208,530.178030131,2023-07-30 08:45:08.399357,,
patrol.dispatch-9,1,tinyRobot,tinyRobotB,530.178030131,599.0180922650001,2023-07-30 08:45:10.807292,,
patrol.dispatch-10,1,tinyRobot,tinyRobotB,599.0180922650001,717.5745815980001,2023-07-30 08:45:13.175634,,
patrol.dispatch-11,1,tinyRobot,tinyRobotB,717.5745815980001,754.763284444,2023-07-30 08:45:15.642451,,
patrol.dispatch-12,1,tinyRobot,tinyRobotB,754.763284444,835.148416046,2023-07-30 08:45:17.948825,,
patrol.dispatch-13,1,tinyRobot,tinyRobotD,835.148416046,947.5124088350001,2023-07-30 08:45:20.480687,,
patrol.dispatch-14,1,tinyRobot,tinyRobotB,947.5124088350001,1087.402117955,2023-07-30 08:45:23.860952,,
patrol.dispatch-10,1,tinyRobot,tinyRobotB,1087.402117955,1249.2919381789998,2023-07-30 08:45:36.683535,,
patrol.dispatch-14,1,tinyRobot,tinyRobotB,1087.402117955,1341.9292551720002,2023-07-30 08:45:47.165854,,
patrol.dispatch-1,1,tinyRobot,tinyRobotD,32.716761499,46.213820649,2023-07-30 08:44:52.580320,2023-07-30 08:44:54.836166,2023-07-30 08:45:55.738474
